pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,evicted,slo_violation,shortfall_frac,reward,offered_rps,served_rps,p95_client,t_s,policy,seed
6.0,6.0,0.0,0.30017310203872755,59.172182270719674,1.5764530124,0.1842972555257795,6.0,False,1,0.0,-6.0,44.8,59.172182270719674,1.5764530124,1860.0,rl_homogeneous,0
6.0,6.0,0.0,0.2920473071935679,68.13001352882354,1.1169348011999998,0.1769844675574947,6.0,False,1,0.0,-6.0,44.7,68.13001352882354,1.1169348011999998,1920.0,rl_homogeneous,0
6.0,6.0,0.0,0.2905585690069935,73.3137321877658,1.375413186,0.17683248404678176,6.0,False,1,0.0,-6.0,46.2,73.3137321877658,1.375413186,1980.0,rl_homogeneous,0
6.0,6.0,0.0,0.30044126496113766,0.0,3.461453723999987,0.09995081967213115,6.0,False,1,1.0,-23.69930843567602,210.7,0.0,3.461453723999987,2040.0,rl_homogeneous,0
6.0,6.0,0.0,0.2829100555046726,1.4740445604175032,3.291563494,0.0,6.0,False,1,0.9930073787456476,-24.3,210.8,1.4740445604175032,3.291563494,2100.0,rl_homogeneous,0
8.0,8.0,0.0,0.20661088802549113,16.534343360769174,3.296403785,0.0,8.0,False,1,0.9205843258368435,-26.3,208.2,16.534343360769174,3.296403785,2160.0,rl_homogeneous,0
10.0,10.0,0.0,0.1564185911926424,44.83715487899666,0.16035171189999975,0.1939652536941551,10.0,False,0,0.0,-11.259962839262892,43.8,44.83715487899666,0.16035171189999975,2220.0,rl_homogeneous,0
11.0,11.0,0.0,0.16002745051787773,47.31134899033185,0.15142406234999992,0.1954877066314798,11.0,False,0,0.0,-12.614953752653726,45.8,47.31134899033185,0.15142406234999992,2280.0,rl_homogeneous,0
11.0,11.0,0.0,0.13364736735823277,50.9650412173105,0.312063516,0.18980234463177764,11.0,False,1,0.0,-11.392968633766243,47.3,50.9650412173105,0.312063516,2340.0,rl_homogeneous,0
13.0,13.0,0.0,0.12261854989383585,42.261237043521476,0.18543711799999993,0.19067938662319156,13.0,False,0,0.0,-13.430990706629244,40.5,42.261237043521476,0.18543711799999993,2400.0,rl_homogeneous,0
