seed,policy,viol_rate,p95_max,cost_hr,pods_mean,spot_frac,sf_rate,evict_count,post_evict_p95,post_evict_sf
9,rl_spot,0.6333333333333333,3.5,2.7416666666666676,5.65,0.8407079646017699,0.0627490432488607,6,1.9343696581037833,0.015140299524423246
10,hpa_ondemand,0.3333333333333333,0.45879119452643075,8.0,8.0,0.0,0.02484219711548563,0,,
10,naive_spot,0.3333333333333333,0.45879119452643075,5.25,7.833333333333333,0.5106382978723405,0.02484219711548563,4,0.23442376016498379,0.1860847333820307
10,rl_homogeneous,0.3333333333333333,0.4159410231061343,8.566666666666666,8.316666666666666,0.0,0.02484219711548563,0,,
10,rl_spot,0.5166666666666667,3.5,2.601666666666666,6.55,0.8829516539440203,0.03166698793056842,4,2.692091209903887,0.24856134974790217
11,hpa_ondemand,0.45,0.49265446024575127,8.0,8.0,0.0,0.02503989122702938,0,,
11,naive_spot,0.45,0.5501711293633675,5.3,7.7,0.5194805194805194,0.02503989122702938,7,0.3209169888532703,0.0
11,rl_homogeneous,0.45,0.49265446024575127,8.416666666666666,8.316666666666666,0.0,0.02503989122702938,0,,
11,rl_spot,0.5666666666666667,3.5,2.8700000000000006,5.95,0.823529411764706,0.02892744166615862,7,1.7969391510119859,0.020147582379342048
12,hpa_ondemand,0.45,1.0385621045905649,8.0,8.0,0.0,0.023703120777094164,0,,
12,naive_spot,0.4666666666666667,1.0385621045905649,5.25,7.85,0.5095541401273885,0.023703120777094164,3,0.2622409444711986,0.0
12,rl_homogeneous,0.45,3.5,8.683333333333334,8.416666666666666,0.0,0.02425341863745069,0,,
12,rl_spot,0.5333333333333333,3.5,2.7449999999999997,6.566666666666666,0.8604060913705585,0.02576673775343113,3,1.4137564700536707,0.0
13,hpa_ondemand,0.5333333333333333,0.6105440955606141,8.0,8.0,0.0,0.02300645109393849,0,,
13,naive_spot,0.55,0.8514988400192971,5.25,7.85,0.5095541401273885,0.02300645109393849,3,0.4800071702663291,0.2304072930451404
13,rl_homogeneous,0.5333333333333333,0.6105440955606141,8.216666666666667,8.116666666666667,0.0,0.02300645109393849,0,,
13,rl_spot,0.65,3.5,2.643333333333333,6.5,0.8769230769230769,0.023596558650475337,3,2.468628487753474,0.23628878106160858
14,hpa_ondemand,0.5166666666666667,1.0466304719849757,8.0,8.0,0.0,0.03596992351257287,0,,
14,naive_spot,0.5166666666666667,1.0466304719849757,5.25,7.833333333333333,0.5106382978723405,0.03596992351257287,4,0.3081640046028343,0.0
14,rl_homogeneous,0.5166666666666667,1.0466304719849757,8.616666666666667,8.333333333333334,0.0,0.03596992351257287,0,,
14,rl_spot,0.5833333333333334,3.5,2.775,6.733333333333333,0.8539603960396039,0.03677164216899728,4,1.197634735998931,0.0
15,hpa_ondemand,0.5666666666666667,0.6960049437652063,8.0,8.0,0.0,0.03458515894919348,0,,
15,naive_spot,0.5666666666666667,0.6960049437652063,5.233333333333333,7.9,0.5063291139240506,0.03458515894919348,3,0.24554829116360066,0.22949117341640704
15,rl_homogeneous,0.55,0.6960049437652063,8.433333333333334,8.233333333333333,0.0,0.03458515894919348,0,,
15,rl_spot,0.6,3.5,2.7316666666666674,6.683333333333334,0.8553615960099751,0.03546600700923957,3,1.4312952311946099,0.23542501112594572
16,hpa_ondemand,0.55,0.5894805019399427,8.0,8.0,0.0,0.04720344153107219,0,,
16,naive_spot,0.5666666666666667,0.5894805019399427,5.25,7.85,0.5095541401273885,0.04720344153107219,3,0.3345861896409823,0.0
16,rl_homogeneous,0.5333333333333333,0.5894805019399427,8.433333333333334,8.166666666666666,0.0,0.04720344153107219,0,,
16,rl_spot,0.6833333333333333,3.5,2.6833333333333322,6.716666666666667,0.8684863523573201,0.05137413263155673,3,1.5099636079263485,0.0
17,hpa_ondemand,0.3333333333333333,0.6369105290603223,8.0,8.0,0.0,0.03455536778388705,0,,
