pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,t_s,policy,seed
8.0,8.0,0.0,0.18544925816203872,45.000510628631254,0.1193472,0.15781252910909296,8.0,1320.0,hpa,0
8.0,8.0,0.0,0.2005308114700014,46.86728594372622,0.24234,0.19336791939297743,8.0,1380.0,hpa,0
8.0,8.0,0.0,0.1849997770036614,48.00044446915823,0.134359,0.183999983536494,8.0,1440.0,hpa,0
8.0,8.0,0.0,0.1734817541148904,45.889510156928395,0.1386684,0.17826331107437782,8.0,1500.0,hpa,0
8.0,8.0,0.0,0.18153602044629225,44.09362985120601,0.43933530000000004,0.19334190028902679,8.0,1560.0,hpa,0
8.0,8.0,0.0,0.17153010757306048,42.91231412852939,0.1268313,0.18320874408097412,8.0,1620.0,hpa,0
8.0,8.0,0.0,0.15498096308208037,44.06728990226721,0.12248017499999998,0.1739078537883053,8.0,1680.0,hpa,0
8.0,8.0,0.0,0.16505303106506286,45.9117121664623,0.12370908999999998,0.18138743810678745,8.0,1740.0,hpa,0
8.0,8.0,0.0,0.15390669372179397,42.88999707448151,0.1282946,0.17319463710093155,8.0,1800.0,hpa,0
8.0,8.0,0.0,0.17564669978653624,43.97846718667871,0.12152084499999999,0.16645825098985745,8.0,1860.0,hpa,0
8.0,8.0,0.0,0.18352206655367798,43.956087431144034,0.12254083999999997,0.1791790266260218,8.0,1920.0,hpa,0
8.0,8.0,0.0,0.19157358433781596,46.00268615417568,0.135410155,0.18407665472593784,8.0,1980.0,hpa,0
8.0,8.0,0.0,0.2718446596951499,0.0,54.45719310999954,0.0,8.0,2040.0,hpa,0
8.0,8.0,0.0,0.28694658571095477,0.0,57.174236509999986,0.0,8.0,2100.0,hpa,0
0.0,0.0,0.0,0.0,0.0,3.8962040099999995,0.0,0.0,2160.0,hpa,0
8.0,8.0,0.0,0.1832846112884603,37.72969786872927,3.2793547149999998,0.18966085447119616,8.0,2220.0,hpa,0
8.0,8.0,0.0,0.18005365928809086,44.97757582859739,0.14003960000000001,0.18623131895904566,8.0,2280.0,hpa,0
8.0,8.0,0.0,0.1835376927170218,47.06724692647491,0.13644605499999998,0.18454024879237244,8.0,2340.0,hpa,0
8.0,8.0,0.0,0.16872596343445428,39.97944475908601,0.12255207499999998,0.17751208089903406,8.0,2400.0,hpa,0
8.0,8.0,0.0,0.17567380890820994,47.00286686273051,0.1257754,0.18144751709113394,8.0,2460.0,hpa,0
8.0,8.0,0.0,0.17911125925834656,46.00142129868104,0.12611991,0.1834400388885582,8.0,2520.0,hpa,0
8.0,8.0,0.0,0.17023525861590352,43.600861970835815,0.2565907,0.194441786419347,8.0,2580.0,hpa,0
8.0,8.0,0.0,0.17839519381120786,42.97844545387185,0.1661108,0.19092025040872718,8.0,2640.0,hpa,0
8.0,8.0,0.0,0.17414775477878935,41.06722273532035,0.1338819,0.18567432827811714,8.0,2700.0,hpa,0
8.0,8.0,0.0,0.19735548513935866,46.02453989352947,0.248174765,0.1930268504460836,8.0,2760.0,hpa,0
8.0,8.0,0.0,0.19319390390300975,47.06982639235593,0.1353655,0.1800189131606159,8.0,2820.0,hpa,0
8.0,8.0,0.0,0.18657943136268215,45.88869137714067,0.13030272499999995,0.1757058281417212,8.0,2880.0,hpa,0
8.0,8.0,0.0,0.18305320906297978,45.02322274816027,0.12080623999999997,0.172621465404312,8.0,2940.0,hpa,0
8.0,8.0,0.0,0.15876049151621976,41.84524348541127,0.1295928,0.1799682614130307,8.0,3000.0,hpa,0
8.0,8.0,0.0,0.1379258709516422,38.04706932760865,0.1422626,0.1879436415056958,8.0,3060.0,hpa,0
8.0,8.0,0.0,0.15616633507340394,40.97862226370603,0.130618135,0.18098990869910037,8.0,3120.0,hpa,0
8.0,8.0,0.0,0.14139767476776224,42.019543565246614,0.13057370000000001,0.1894942923512896,8.0,3180.0,hpa,0
8.0,8.0,0.0,0.1557334479725178,37.955377305667156,0.13563265999999988,0.1841852301721813,8.0,3240.0,hpa,0
8.0,8.0,0.0,0.17012651707914428,41.044958571647584,0.1546599,0.1884564886228984,8.0,3300.0,hpa,0
8.0,8.0,0.0,0.17032248974797007,40.867065699731604,0.1345284,0.1878213384079817,8.0,3360.0,hpa,0
8.0,8.0,0.0,0.16839618561183645,42.067356564489074,0.15178480999999996,0.18324780279284944,8.0,3420.0,hpa,0
8.0,8.0,0.0,0.15308350338423354,37.00171121235245,0.132398,0.18793459766026,8.0,3480.0,hpa,0
8.0,8.0,0.0,0.15312922114464564,37.95779767838631,0.1273669149999999,0.18788641640216805,8.0,3540.0,hpa,0
