pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,t_s,policy,seed
12.0,12.0,0.0,0.22355448159574398,43.8046769367336,0.2716599251082621,0.2950464321701776,12.0,1320.0,hpa,0
12.0,12.0,0.0,0.2320968191855376,45.29356213330642,0.2736973152250455,0.29743636175646443,12.0,1380.0,hpa,0
12.0,12.0,0.0,0.23410503213454437,46.74246914892146,0.27234177856278174,0.2973343640318793,12.0,1440.0,hpa,0
12.0,12.0,0.0,0.22066230899048384,45.60026440393272,0.27137941990399084,0.2985296825661432,12.0,1500.0,hpa,0
12.0,12.0,0.0,0.21948370402111408,42.79206483858139,0.271928682035378,0.2979117373689483,12.0,1560.0,hpa,0
12.0,12.0,0.0,0.20282878451020145,42.799253681353306,0.2677288532501544,0.2965532939675981,12.0,1620.0,hpa,0
12.0,12.0,0.0,0.2177140354490957,42.44561550177939,0.2704931808683409,0.29718705683307234,12.0,1680.0,hpa,0
12.0,12.0,0.0,0.21787052413911565,45.74848514736366,0.2706781422781726,0.29754705268092996,12.0,1740.0,hpa,0
12.0,12.0,0.0,0.21725038874041738,41.45505410172641,0.26947123680449714,0.296974065287106,12.0,1800.0,hpa,0
12.0,12.0,0.0,0.22766483493054832,43.42122742289711,0.26557806591965366,0.29610317105049877,12.0,1860.0,hpa,0
12.0,12.0,0.0,0.2199727070889006,43.43054732436511,0.2730336357642233,0.2968018424102278,12.0,1920.0,hpa,0
12.0,12.0,0.0,0.19135845476758515,44.49553168416867,0.26980668989423945,0.2979065163604169,12.0,1980.0,hpa,0
12.0,12.0,0.0,0.1816983999422996,0.0,,,12.0,2040.0,hpa,0
12.0,12.0,0.0,0.22325225039303276,23.018565154742873,0.28049187977524187,0.29796441404804197,12.0,2100.0,hpa,0
12.0,12.0,0.0,0.23493560282815762,10.369406369791374,0.28021103342172093,0.2975272333206613,12.0,2160.0,hpa,0
12.0,12.0,0.0,0.20288592877079198,35.974061220571286,0.27134034873908097,0.30819225287732743,12.0,2220.0,hpa,0
12.0,12.0,0.0,0.21291228472461948,44.21779370308172,0.27533098964060343,0.29778526555853446,12.0,2280.0,hpa,0
12.0,12.0,0.0,0.24195770704987538,33.77693788842941,0.2827488173150188,0.29945226352936705,12.0,2340.0,hpa,0
12.0,12.0,0.0,0.1976597394330343,39.957749100764424,0.2764210346285796,0.29820528283082814,12.0,2400.0,hpa,0
12.0,12.0,0.0,0.22217900106473878,46.53909765664315,0.27146573821275577,0.2989031916267886,12.0,2460.0,hpa,0
12.0,12.0,0.0,0.2400593607244159,45.374691494484566,0.27386593756933725,0.29900064546877914,12.0,2520.0,hpa,0
12.0,12.0,0.0,0.22057065479219495,44.40137367006919,0.27413031884225086,0.2988012404044649,12.0,2580.0,hpa,0
12.0,12.0,0.0,0.21946018054161237,42.73972315594235,0.2734246848599611,0.2977336510776448,12.0,2640.0,hpa,0
12.0,12.0,0.0,0.19846145389984732,41.06526307419701,0.273079066202154,0.2978490952554047,12.0,2700.0,hpa,0
12.0,12.0,0.0,0.23886069410981317,46.10931990578625,0.2762553093297022,0.2979883994398429,12.0,2760.0,hpa,0
12.0,12.0,0.0,0.24711840225090462,46.50198900235759,0.27723766096762525,0.29738038917621074,12.0,2820.0,hpa,0
12.0,12.0,0.0,0.21496877249911014,45.74924243338806,0.27326710268116555,0.2972421155450832,12.0,2880.0,hpa,0
12.0,12.0,0.0,0.20592408366688614,43.6401453737867,0.2606892797837639,0.2927933814049315,12.0,2940.0,hpa,0
12.0,12.0,0.0,0.20789894360087433,41.83898101102693,0.27351039928828313,0.29787718956434345,12.0,3000.0,hpa,0
12.0,12.0,0.0,0.19375237174246726,36.634762679461694,0.27342033652988396,0.29724726837818505,12.0,3060.0,hpa,0
12.0,12.0,0.0,0.20529839671792716,40.90936242858683,0.2795913918917683,0.2984061537289029,12.0,3120.0,hpa,0
12.0,12.0,0.0,0.18782642557661341,41.8221103456428,0.27702925032581,0.2991930118707002,12.0,3180.0,hpa,0
12.0,12.0,0.0,0.2121973999390211,38.094508432116754,0.2793108296601816,0.2991466229293568,12.0,3240.0,hpa,0
12.0,12.0,0.0,0.216557139120342,41.2722005999671,0.2758025759811885,0.2955882307156781,12.0,3300.0,hpa,0
12.0,12.0,0.0,0.2103735471249918,40.86115108181292,0.2811135663314607,0.29895573698763755,12.0,3360.0,hpa,0
12.0,12.0,0.0,0.19868552845743037,41.776434031739605,0.27654179061787904,0.2970517335915354,12.0,3420.0,hpa,0
12.0,12.0,0.0,0.1854365717779355,37.113391659240065,0.27940201734713055,0.29716515467192167,12.0,3480.0,hpa,0
12.0,12.0,0.0,0.18263767288797633,38.03683731489569,0.2819856785473903,0.29809934595686305,12.0,3540.0,hpa,0
