pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,t_s,policy,seed
19.0,15.0,4.0,0.10965394133971454,49.04085608916455,0.04959854955780827,0.08747800253648702,16.2,1080.0,hpa,0
19.0,15.0,4.0,0.11142958467132771,50.016890547756944,0.04957011778365875,0.08648008676686669,16.2,1140.0,hpa,0
19.0,15.0,4.0,0.10581951281324999,47.08606534544548,0.04958703315394076,0.08581089578094227,16.2,1200.0,hpa,0
19.0,15.0,4.0,0.10743257174883623,49.98946189865855,0.04983353082243394,0.08934365724438689,16.2,1260.0,hpa,0
19.0,15.0,4.0,0.10457336527269596,45.00613706429848,0.04961421771512888,0.08627059633987458,16.2,1320.0,hpa,0
19.0,15.0,4.0,0.11547622535630356,46.97916402043181,0.0491040470234708,0.06649170715732312,16.2,1380.0,hpa,0
19.0,15.0,4.0,0.11108455694340906,47.92985580908301,0.04969033015430028,0.0882719682592977,16.2,1440.0,hpa,0
19.0,15.0,4.0,0.1074483170058569,45.86748870263611,0.049596946076090734,0.0859858808638736,16.2,1500.0,hpa,0
19.0,15.0,4.0,0.10320463523823856,44.01206021321698,0.04956982760343631,0.08555394278880238,16.2,1560.0,hpa,0
19.0,15.0,4.0,0.09808079112438436,42.906804285646466,0.04951272704634872,0.08635449870972625,16.2,1620.0,hpa,0
19.0,15.0,4.0,0.09567860193875585,43.9296831137832,0.04954582108403977,0.08410024265707661,16.2,1680.0,hpa,0
19.0,15.0,4.0,0.10066828381855109,45.97056775180148,0.04968268040505466,0.08773530851616462,16.2,1740.0,hpa,0
19.0,15.0,4.0,0.09475754367235155,42.91254714400098,0.049711279752073824,0.08816424333689782,16.2,1800.0,hpa,0
19.0,15.0,4.0,0.090086976567008,43.814805528036615,0.04950958957253815,0.0844306899426856,16.2,1860.0,hpa,0
19.0,15.0,4.0,0.09704803580240623,42.553204079434025,0.04920212127327889,0.0746137243709926,16.2,1920.0,hpa,0
17.0,13.0,4.0,0.11419951283665726,46.02792571159126,0.049719125826283475,0.08969764127128992,14.2,1980.0,hpa,0
20.0,15.0,5.0,0.27900090468225214,209.94181067180685,0.0911781162962564,0.09858134272124049,16.5,2040.0,hpa,0
20.0,15.0,5.0,0.22980589052878525,209.89298365969458,0.08912275702770962,0.09801335190986185,16.5,2100.0,hpa,0
20.0,15.0,5.0,0.23747266482505044,208.07857343872348,0.088009155088481,0.09803112902948717,16.5,2160.0,hpa,0
20.0,15.0,5.0,0.09207875825381427,43.02732594427406,0.04930380758418891,0.08165418458644294,16.5,2220.0,hpa,0
20.0,15.0,5.0,0.09499486972704284,44.93872326153456,0.049705361665612485,0.08812233044629289,16.5,2280.0,hpa,0
20.0,15.0,5.0,0.09557271638615711,47.104016072138975,0.04989273576957312,0.08993160476295178,16.5,2340.0,hpa,0
20.0,15.0,5.0,0.0851412447094925,40.07156153556487,0.0494293525973152,0.0833543075562031,16.5,2400.0,hpa,0
20.0,15.0,5.0,0.10098876720415291,47.067926632467326,0.04919670270694074,0.07415508823681798,16.5,2460.0,hpa,0
20.0,15.0,5.0,0.1002367923980387,46.047622179044446,0.049349790929260326,0.08091373271980111,16.5,2520.0,hpa,0
20.0,15.0,5.0,0.09692767927618724,44.03402964949302,0.05007002635671545,0.0900140052713431,16.5,2580.0,hpa,0
18.0,13.0,5.0,0.1061720720669614,42.943409995460854,0.04940176403826226,0.08231227347696574,14.5,2640.0,hpa,0
18.0,13.0,5.0,0.09798737010018911,40.951121771015565,0.04978794226586772,0.08855939444011117,14.5,2700.0,hpa,0
18.0,13.0,5.0,0.1148625537864118,46.07957882826235,0.04936195611182982,0.08243500676232737,14.5,2760.0,hpa,0
18.0,13.0,5.0,0.11363175786534248,47.039318192713715,0.04924360996287892,0.07668310405521735,14.5,2820.0,hpa,0
18.0,13.0,5.0,0.10677415127816756,46.091296747042335,0.04933777264668993,0.08051777639145269,14.5,2880.0,hpa,0
18.0,13.0,5.0,0.10093287177792895,44.99235801038945,0.04915642939393478,0.07089725985133681,14.5,2940.0,hpa,0
18.0,13.0,5.0,0.09287415678591228,42.054816762868555,0.049516123494911746,0.08519302150070818,14.5,3000.0,hpa,0
18.0,13.0,5.0,0.0964369333824229,37.91840781011751,0.04921194587220295,0.07379352503277069,14.5,3060.0,hpa,0
18.0,13.0,5.0,0.10159993949585859,41.042911729674636,0.04946525451139444,0.08351807630913387,14.5,3120.0,hpa,0
18.0,13.0,5.0,0.10337234027847197,41.92549770379209,0.049734666026941154,0.08846569031228348,14.5,3180.0,hpa,0
18.0,13.0,5.0,0.0888929159309505,37.86809629146795,0.04951380202041583,0.08598997099974068,14.5,3240.0,hpa,0
18.0,13.0,5.0,0.10101542907775582,40.90846515442685,0.04918414284700315,0.07357612208395448,14.5,3300.0,hpa,0
16.0,11.0,5.0,0.09489362927192412,40.46594292221952,0.04914851319887506,0.07110869111333562,12.5,3360.0,hpa,0
16.0,11.0,5.0,0.10593451359283743,41.90334088993513,0.0494381957336187,0.08350868639580405,12.5,3420.0,hpa,0
16.0,11.0,5.0,0.10162404709590961,36.996635782911156,0.049747606719771326,0.08935847144763799,12.5,3480.0,hpa,0
16.0,11.0,5.0,0.09041256141788911,37.999487311994855,0.04981089772803704,0.09052808173619006,12.5,3540.0,hpa,0
